Resume,Score,Rank
62994611.pdf,0.3705736564718757,1.0
12011623.pdf,0.36829280859753083,2.0
21297521.pdf,0.2748953699210588,3.0
22946204.pdf,0.27454367666650736,4.0
50328713.pdf,0.2508486837554807,5.0
22983516.pdf,0.24548382623873835,6.0
18448085.pdf,0.23669446859324303,7.0
13087952.pdf,0.22915611241217654,8.0
28176889.pdf,0.1782441679469062,9.0
82246962.pdf,0.17275678491311003,10.0
99680385.pdf,0.1706599870260054,11.0
60624892.pdf,0.1655927774310313,12.0
19072267.pdf,0.165080464493922,13.0
96457008.pdf,0.1649444582328441,14.0
88651471.pdf,0.1622863579599004,15.0
57706851.pdf,0.16115858493392612,16.0
15484011.pdf,0.16044511625591854,17.0
99033098.pdf,0.15970597807026354,18.0
19156751.pdf,0.15869638367291633,19.0
25873425.pdf,0.1574565453870095,20.0
29825044.pdf,0.12224857043657283,21.0
22890839.pdf,0.10722598018119513,22.0
20390397.pdf,0.10174475106078561,23.0
11360471.pdf,0.10105104660852712,24.0
46055835.pdf,0.0987717823972235,25.0
23464505.pdf,0.0981501330407363,26.0
27529455.pdf,0.09733136641796165,27.0
35421497.pdf,0.09673081871388746,28.0
53701275.pdf,0.09577378460671852,29.0
29173771.pdf,0.09419326856725754,30.0
95382114.pdf,0.09330270474471293,31.0
90280583.pdf,0.092901221630113,32.0
28670024.pdf,0.09239641438763715,33.0
37348041.pdf,0.09206103189854872,34.0
26496059.pdf,0.0919725684049551,35.0
66906212.pdf,0.09157099268977455,36.0
19405513.pdf,0.09122255194325846,37.0
16210888.pdf,0.09068115123975554,38.0
62850928.pdf,0.08955736799911368,39.0
21611637.pdf,0.08769941147851165,40.0
11152490.pdf,0.08739664393844103,41.0
34452806.pdf,0.08739587609692448,42.0
30304575.pdf,0.08725311526314987,43.0
24727739.pdf,0.08685384422658093,44.0
29486525.pdf,0.08637973569005021,45.0
13199813.pdf,0.0856536359706394,46.0
18589927.pdf,0.08508285454001238,47.0
18488289.pdf,0.08485378464795983,48.0
34185495.pdf,0.08446155330409372,49.0
27606527.pdf,0.08442130734483728,50.0
10712803.pdf,0.08392403619755988,51.0
10268614.pdf,0.08371621675005023,52.0
53129155.pdf,0.08296829829374099,53.0
19540089.pdf,0.08279959996118742,54.0
39247950.pdf,0.08259217434136087,55.0
21338490.pdf,0.08259038182991993,56.0
22968380.pdf,0.08227061357780575,57.0
17378327.pdf,0.08219274903569021,58.0
22323967.pdf,0.08204954081910348,59.0
27084878.pdf,0.08180423921520445,60.0
